city,date,period,from,to,prob,prob_l,prob_u,fraction
Dallas,2020-01-01,1,Clouds,Clouds,0.47688467734011825,0.4318121049797412,0.5202138693765999,0.2540827500131146
Dallas,2020-01-01,1,Clouds,Rain,0.22550928366452233,0.18643362006304876,0.25973305364040145,0.2540827500131146
Dallas,2020-01-01,1,Clouds,Snow,0.02237196030979656,0.013714383369944058,0.035046853805824445,0.2540827500131146
Dallas,2020-01-01,1,Clouds,Sun,0.2769397918820433,0.23398043271227092,0.31295507971137315,0.2540827500131146
Dallas,2020-01-01,1,Rain,Clouds,0.22355351881628138,0.1847487415480691,0.26822111230779416,0.19923815718135912
Dallas,2020-01-01,1,Rain,Rain,0.4322557294620897,0.38629426938674627,0.4853261351457512,0.19923815718135912
Dallas,2020-01-01,1,Rain,Snow,0.016214046919866686,0.00861939668206745,0.025694141225049788,0.19923815718135912
Dallas,2020-01-01,1,Rain,Sun,0.3248953557561546,0.2838654812719773,0.37541559015257475,0.19923815718135912
Dallas,2020-01-01,1,Snow,Clouds,0.2534358014738075,0.15235124969902156,0.39683330297611186,0.01599043758634142
Dallas,2020-01-01,1,Snow,Rain,0.09990411689583706,0.03594876736449722,0.20453449313482708,0.01599043758634142
Dallas,2020-01-01,1,Snow,Snow,0.1987382229352497,0.10278148033779247,0.31236847175687454,0.01599043758634142
Dallas,2020-01-01,1,Snow,Sun,0.4302452777319158,0.2992430357863505,0.568878359319344,0.01599043758634142
Dallas,2020-01-01,1,Sun,Clouds,0.158255196620043,0.13838778534218138,0.1812321621729025,0.5306886552191848
Dallas,2020-01-01,1,Sun,Rain,0.10167208150406018,0.08237751413896494,0.12438260924896985,0.5306886552191848
Dallas,2020-01-01,1,Sun,Snow,0.007304671646244371,0.004025065220581147,0.012708524591406836,0.5306886552191848
Dallas,2020-01-01,1,Sun,Sun,0.7311385926943492,0.7059606841436554,0.7575526954772044,0.5306886552191848
Dallas,2020-01-08,2,Clouds,Clouds,0.47429287555600497,0.42367268430382005,0.5166407433418723,0.2557284783609062
Dallas,2020-01-08,2,Clouds,Rain,0.2286009590180215,0.186863423673732,0.2635786523166494,0.2557284783609062
Dallas,2020-01-08,2,Clouds,Snow,0.022987886890748817,0.014207272750862417,0.036492909971229726,0.2557284783609062
Dallas,2020-01-08,2,Clouds,Sun,0.27714286575628927,0.23369746601648156,0.31564315161129414,0.2557284783609062
Dallas,2020-01-08,2,Rain,Clouds,0.22683210283445665,0.1869666920981498,0.274163062893633,0.20264947173311476
Dallas,2020-01-08,2,Rain,Rain,0.43446474458572504,0.38430267783764493,0.4878658574275737,0.20264947173311476
Dallas,2020-01-08,2,Rain,Snow,0.0167411300115057,0.008935982561408491,0.026870759381388862,0.20264947173311476
Dallas,2020-01-08,2,Rain,Sun,0.3194099735186795,0.27766922151465656,0.37363129662448574,0.20264947173311476
Dallas,2020-01-08,2,Snow,Clouds,0.24797971420636467,0.15382436283647968,0.38705472248336914,0.01658270703092113
Dallas,2020-01-08,2,Snow,Rain,0.09179870048471435,0.0334691775446779,0.17892540385593472,0.01658270703092113
Dallas,2020-01-08,2,Snow,Snow,0.1996530203109666,0.11224994947384456,0.3079898546961677,0.01658270703092113
Dallas,2020-01-08,2,Snow,Sun,0.44546138299992755,0.3180250424949823,0.5811028450204203,0.01658270703092113
Dallas,2020-01-08,2,Sun,Clouds,0.16031908744058623,0.1390451728999148,0.18343791148333122,0.5250393428750579
Dallas,2020-01-08,2,Sun,Rain,0.1037576967419782,0.08395511903995731,0.12722392204879615,0.5250393428750579
Dallas,2020-01-08,2,Sun,Snow,0.007596940892963814,0.004290792789330455,0.012935292235629017,0.5250393428750579
Dallas,2020-01-08,2,Sun,Sun,0.7269383518510071,0.6987196967842705,0.7559398649672712,0.5250393428750579
Dallas,2020-01-15,3,Clouds,Clouds,0.4705784915365223,0.4191015674944075,0.5129855568454332,0.2568746629207961
Dallas,2020-01-15,3,Clouds,Rain,0.23292824843427862,0.1936785422926161,0.26933879978107617,0.2568746629207961
Dallas,2020-01-15,3,Clouds,Snow,0.023271474550156955,0.014405826667108379,0.036735506637085184,0.2568746629207961
Dallas,2020-01-15,3,Clouds,Sun,0.27506865349213494,0.23246219713637356,0.3163999466160976,0.2568746629207961
Dallas,2020-01-15,3,Rain,Clouds,0.22913380792118554,0.18682205200053426,0.2750859660962694,0.2059902723488705
Dallas,2020-01-15,3,Rain,Rain,0.43340772732419164,0.38090784957221413,0.4864705375292172,0.2059902723488705
Dallas,2020-01-15,3,Rain,Snow,0.017007154940641304,0.00923778693388472,0.027405107528097668,0.2059902723488705
Dallas,2020-01-15,3,Rain,Sun,0.3185476142794942,0.2762976213001572,0.3742694936705887,0.2059902723488705
Dallas,2020-01-15,3,Snow,Clouds,0.24262552177167052,0.1477797612242197,0.3783953261907411,0.016914198840090704
Dallas,2020-01-15,3,Snow,Rain,0.0851929414596699,0.031988272871409325,0.16828146265207342,0.016914198840090704
Dallas,2020-01-15,3,Snow,Snow,0.2019560820505557,0.12091243432194737,0.31093648016487263,0.016914198840090704
Dallas,2020-01-15,3,Snow,Sun,0.4582811546939589,0.3302703113169906,0.583936160286632,0.016914198840090704
Dallas,2020-01-15,3,Sun,Clouds,0.1624540432189963,0.14093537959817365,0.1849609903692437,0.5202208658902427
Dallas,2020-01-15,3,Sun,Rain,0.10628937007397365,0.08538093646599348,0.1298441612583522,0.5202208658902427
Dallas,2020-01-15,3,Sun,Snow,0.007699174654628674,0.0043741838417243085,0.013079672012413578,0.5202208658902427
