city,date,period,from,to,prob,prob_l,prob_u,fraction
San Francisco,2020-01-01,1,Clouds,Clouds,0.28562782123940944,0.23712391195592952,0.34278333381948567,0.1546148485008289
San Francisco,2020-01-01,1,Clouds,Rain,0.38673217216765315,0.33125715060250016,0.44235472665564807,0.1546148485008289
San Francisco,2020-01-01,1,Clouds,Snow,0.003052988320888928,7.742293044427358e-4,0.009630775479108313,0.1546148485008289
San Francisco,2020-01-01,1,Clouds,Sun,0.3235689128168256,0.27217022464237134,0.37831747202002386,0.1546148485008289
San Francisco,2020-01-01,1,Rain,Clouds,0.10217390288781986,0.0824682056637293,0.12386298825614012,0.36126575049656806
San Francisco,2020-01-01,1,Rain,Rain,0.6419574091990659,0.6052552462175375,0.6786911494871513,0.36126575049656806
San Francisco,2020-01-01,1,Rain,Snow,0.0017189542332531561,4.0646379763274287e-4,0.0049584580608129265,0.36126575049656806
San Francisco,2020-01-01,1,Rain,Sun,0.25341898810349267,0.22199205191920468,0.28790746306986004,0.36126575049656806
San Francisco,2020-01-01,1,Snow,Clouds,0.23707717767312897,0.06533923765123696,0.4825131462939872,0.001972150869149874
San Francisco,2020-01-01,1,Snow,Rain,0.23121715499674889,0.05835221936680908,0.5529659942798869,0.001972150869149874
San Francisco,2020-01-01,1,Snow,Snow,0.23866905290973958,0.05396635632055578,0.5325871653461239,0.001972150869149874
San Francisco,2020-01-01,1,Snow,Sun,0.240073300998772,0.06315238048896415,0.50358387290195,0.001972150869149874
San Francisco,2020-01-01,1,Sun,Clouds,0.15132368498987786,0.13027435043273755,0.17389020512737455,0.4821472501334531
San Francisco,2020-01-01,1,Sun,Rain,0.1427665823556081,0.1249296528383633,0.16436975296775908,0.4821472501334531
San Francisco,2020-01-01,1,Sun,Snow,8.441083903931816e-4,1.941005905008919e-4,0.0023649675868639706,0.4821472501334531
San Francisco,2020-01-01,1,Sun,Sun,0.7046436323757326,0.6754980296383117,0.7316838044037033,0.4821472501334531
San Francisco,2020-01-08,2,Clouds,Clouds,0.29229695032487246,0.24284487779551187,0.351173946923356,0.15484316572474377
San Francisco,2020-01-08,2,Clouds,Rain,0.38807472355673567,0.331690822280335,0.4435374767130008,0.15484316572474377
San Francisco,2020-01-08,2,Clouds,Snow,0.0029769613403209244,7.583067506570064e-4,0.00900953778354319,0.15484316572474377
San Francisco,2020-01-08,2,Clouds,Sun,0.3152306617278528,0.2623050140734688,0.3710946163331156,0.15484316572474377
San Francisco,2020-01-08,2,Rain,Clouds,0.10080203288747827,0.0806782708483361,0.12352070754459207,0.3673844367205437
San Francisco,2020-01-08,2,Rain,Rain,0.648827460797071,0.6097027489147033,0.6872977275399674,0.3673844367205437
San Francisco,2020-01-08,2,Rain,Snow,0.0016624444217221545,3.7700450651733134e-4,0.004719982119977314,0.3673844367205437
San Francisco,2020-01-08,2,Rain,Sun,0.24796472486570434,0.21488113633886996,0.28345522995325967,0.3673844367205437
San Francisco,2020-01-08,2,Snow,Clouds,0.2353696987840007,0.06043278130456113,0.49010144013411383,0.001933741827964561
San Francisco,2020-01-08,2,Snow,Rain,0.23021537563774444,0.057474186755807885,0.5634519260726492,0.001933741827964561
San Francisco,2020-01-08,2,Snow,Snow,0.23576868153266628,0.05718251575772918,0.5392961711989221,0.001933741827964561
San Francisco,2020-01-08,2,Snow,Sun,0.23784847143804144,0.061748576911759986,0.5022424734028219,0.001933741827964561
San Francisco,2020-01-08,2,Sun,Clouds,0.15118691731615636,0.12773794795867177,0.17566697072714982,0.4758386557267479
San Francisco,2020-01-08,2,Sun,Rain,0.14314446326360913,0.12505413117944877,0.1656457615753143,0.4758386557267479
San Francisco,2020-01-08,2,Sun,Snow,8.494109107125901e-4,1.93043144120643e-4,0.002398172912500267,0.4758386557267479
San Francisco,2020-01-08,2,Sun,Sun,0.7040102442522229,0.6743320551169107,0.7315426036103915,0.4758386557267479
San Francisco,2020-01-15,3,Clouds,Clouds,0.298728185299878,0.24852823716569128,0.3595375280070784,0.15542963886093264
San Francisco,2020-01-15,3,Clouds,Rain,0.3872728750038693,0.330440701942155,0.44567308647292747,0.15542963886093264
San Francisco,2020-01-15,3,Clouds,Snow,0.0029736843832324435,7.483912777292686e-4,0.009050373078866726,0.15542963886093264
San Francisco,2020-01-15,3,Clouds,Sun,0.3076456238885016,0.2559534824571115,0.3671134462309539,0.15542963886093264
San Francisco,2020-01-15,3,Rain,Clouds,0.0990653577510846,0.0778805526533291,0.12195109519053433,0.3695677214185639
San Francisco,2020-01-15,3,Rain,Rain,0.6515324188614471,0.6125336029223865,0.6909566286744981,0.3695677214185639
San Francisco,2020-01-15,3,Rain,Snow,0.0016282207472576853,3.4870549455526256e-4,0.004762661418111365,0.3695677214185639
San Francisco,2020-01-15,3,Rain,Sun,0.24715044978206296,0.21299328284344898,0.2841370433563666,0.3695677214185639
San Francisco,2020-01-15,3,Snow,Clouds,0.2358697547809754,0.060327592266777724,0.5036079926998317,0.0019116128290196128
San Francisco,2020-01-15,3,Snow,Rain,0.23209392467497425,0.05585214803697974,0.5657242240654863,0.0019116128290196128
San Francisco,2020-01-15,3,Snow,Snow,0.23135269469173575,0.0588829169933041,0.5397272867236964,0.0019116128290196128
San Francisco,2020-01-15,3,Snow,Sun,0.23331241397859903,0.06344911113488196,0.5044868764892757,0.0019116128290196128
San Francisco,2020-01-15,3,Sun,Clouds,0.15153394389271063,0.12850503183302203,0.17692110134712874,0.4730910268914838
San Francisco,2020-01-15,3,Sun,Rain,0.14280154945603535,0.12472470976330813,0.16605368755453007,0.4730910268914838
