city,date,period,from,to,prob,prob_l,prob_u,fraction
Detroit,2020-01-01,1,Clouds,Clouds,0.27167379998252666,0.16383397776683664,0.4110315464208796,0.24468905394382953
Detroit,2020-01-01,1,Clouds,Rain,0.19119613283668344,0.0957917873308109,0.325152518854316,0.24468905394382953
Detroit,2020-01-01,1,Clouds,Snow,0.30970655159384985,0.18109630331428317,0.4383696692343805,0.24468905394382953
Detroit,2020-01-01,1,Clouds,Sun,0.21691849491042903,0.12108667074961457,0.3576936348932037,0.24468905394382953
Detroit,2020-01-01,1,Rain,Clouds,0.19872778117930245,0.0961274228549342,0.3503188364221057,0.16873539838640772
Detroit,2020-01-01,1,Rain,Rain,0.3425798465884852,0.1930676102189146,0.5369228466597779,0.16873539838640772
Detroit,2020-01-01,1,Rain,Snow,0.28563359059263693,0.13078960411550133,0.4580344779379975,0.16873539838640772
Detroit,2020-01-01,1,Rain,Sun,0.15032902918715568,0.0661832372582015,0.3093427451576928,0.16873539838640772
Detroit,2020-01-01,1,Snow,Clouds,0.20429525806847032,0.09706405712048782,0.33254688761046325,0.2692021608087971
Detroit,2020-01-01,1,Snow,Rain,0.0860318304399958,0.029813494832727452,0.19731031105662636,0.2692021608087971
Detroit,2020-01-01,1,Snow,Snow,0.2469353015542706,0.13141430971663048,0.38512016508445857,0.2692021608087971
Detroit,2020-01-01,1,Snow,Sun,0.449066377814752,0.3154364162069,0.5975037865739707,0.2692021608087971
Detroit,2020-01-01,1,Sun,Clouds,0.2725896637870945,0.16562822787160325,0.4058951638386874,0.3173733868609656
Detroit,2020-01-01,1,Sun,Rain,0.12225153408237606,0.06112824260713087,0.2160505620417642,0.3173733868609656
Detroit,2020-01-01,1,Sun,Snow,0.2371307893610331,0.13700844729181091,0.347589374569244,0.3173733868609656
Detroit,2020-01-01,1,Sun,Sun,0.3589671209162574,0.23216812677278553,0.49397357913379725,0.3173733868609656
Detroit,2020-01-08,2,Clouds,Clouds,0.27132285364529973,0.1651462081505262,0.4109245537395119,0.2370743359968053
Detroit,2020-01-08,2,Clouds,Rain,0.18352741572008097,0.09057449154844016,0.31766799743649904,0.2370743359968053
Detroit,2020-01-08,2,Clouds,Snow,0.3213388555123169,0.188237237291387,0.4545513627062834,0.2370743359968053
Detroit,2020-01-08,2,Clouds,Sun,0.21478573501518125,0.12028565498586755,0.35720047524377907,0.2370743359968053
Detroit,2020-01-08,2,Rain,Clouds,0.18611228136004496,0.09136135234696285,0.33644175798597575,0.16549457196385073
Detroit,2020-01-08,2,Rain,Rain,0.3327151426940673,0.19376275114955782,0.5523203607358014,0.16549457196385073
Detroit,2020-01-08,2,Rain,Snow,0.2892239794535073,0.1355604914927677,0.4701792865277771,0.16549457196385073
Detroit,2020-01-08,2,Rain,Sun,0.1556153273455007,0.07048188486063296,0.31218990025688,0.16549457196385073
Detroit,2020-01-08,2,Snow,Clouds,0.20232688896560413,0.1037497285736255,0.32598240010073215,0.2756021962892033
Detroit,2020-01-08,2,Snow,Rain,0.08538046058935586,0.03134623468944442,0.1972576362542212,0.2756021962892033
Detroit,2020-01-08,2,Snow,Snow,0.24735463250292547,0.13509839570118543,0.3734211018828408,0.2756021962892033
Detroit,2020-01-08,2,Snow,Sun,0.4499562504132375,0.3144972956789047,0.5950044532761587,0.2756021962892033
Detroit,2020-01-08,2,Sun,Clouds,0.2565812855372918,0.15379906747697447,0.38668768911614926,0.3218288957501407
Detroit,2020-01-08,2,Sun,Rain,0.12699034016205699,0.06618302614631161,0.22025041921782718,0.3218288957501407
Detroit,2020-01-08,2,Sun,Snow,0.24604464430051348,0.1450817831504026,0.3570959853352459,0.3218288957501407
Detroit,2020-01-08,2,Sun,Sun,0.3611904864830559,0.24156749721714454,0.4925080009272648,0.3218288957501407
Detroit,2020-01-15,3,Clouds,Clouds,0.2705324368753661,0.16308057403465923,0.4085879339134252,0.2290656437512334
Detroit,2020-01-15,3,Clouds,Rain,0.17822795500733585,0.08919073965272867,0.3058680926640404,0.2290656437512334
Detroit,2020-01-15,3,Clouds,Snow,0.3266678902022297,0.19682621917110238,0.4629230461439218,0.2290656437512334
Detroit,2020-01-15,3,Clouds,Sun,0.20994556662975164,0.11671835714214465,0.3564966111312581,0.2290656437512334
Detroit,2020-01-15,3,Rain,Clouds,0.17833333574697693,0.08501139022891166,0.32162978502996714,0.16703668558895057
Detroit,2020-01-15,3,Rain,Rain,0.3307270681687416,0.19434326667523688,0.5469738296809469,0.16703668558895057
Detroit,2020-01-15,3,Rain,Snow,0.29103911020477025,0.13582313393636308,0.4683713972773917,0.16703668558895057
Detroit,2020-01-15,3,Rain,Sun,0.16525221514495655,0.07620930089524366,0.3258566086155108,0.16703668558895057
Detroit,2020-01-15,3,Snow,Clouds,0.19939798792733818,0.10678653225577137,0.32628672194406433,0.2773300867947028
Detroit,2020-01-15,3,Snow,Rain,0.08734342413163726,0.03411787406909035,0.1943163340886752,0.2773300867947028
Detroit,2020-01-15,3,Snow,Snow,0.24605781548430328,0.13954426560590424,0.36929356980209094,0.2773300867947028
Detroit,2020-01-15,3,Snow,Sun,0.45114511155654935,0.31265158273250687,0.5934751592587508,0.2773300867947028
Detroit,2020-01-15,3,Sun,Clouds,0.2395246427311219,0.14184965738235927,0.37079067901006557,0.3265675838651133
Detroit,2020-01-15,3,Sun,Rain,0.13468037800809646,0.07243177273263551,0.22397722544117749,0.3265675838651133
Detroit,2020-01-15,3,Sun,Snow,0.24822572736562754,0.1495977462638315,0.36367334129671813,0.3265675838651133
