city,date,period,from,to,prob,prob_l,prob_u,fraction
Atlanta,2020-03-25,13,Snow,Clouds,0.11229537124194033,0.034557171187786784,0.2552303466313401,0.007886136333357779
Atlanta,2020-03-25,13,Snow,Rain,0.15498140531394294,0.053209951099698304,0.35573066154104593,0.007886136333357779
Atlanta,2020-03-25,13,Snow,Snow,0.2205575041074995,0.08026745504212898,0.4530391804555135,0.007886136333357779
Atlanta,2020-03-25,13,Snow,Sun,0.4922733717032707,0.28243283238032946,0.6635626888955704,0.007886136333357779
Atlanta,2020-03-25,13,Sun,Clouds,0.12451752192756796,0.10350842537627941,0.14313011060769973,0.566093787796298
Atlanta,2020-03-25,13,Sun,Rain,0.1852583146488473,0.16036927708594256,0.20887540824302975,0.566093787796298
Atlanta,2020-03-25,13,Sun,Snow,0.004881366607879494,0.00313886105901284,0.007844317297801967,0.566093787796298
Atlanta,2020-03-25,13,Sun,Sun,0.6858394222810561,0.6560555479339547,0.7139416623596375,0.566093787796298
Atlanta,2020-04-01,14,Clouds,Clouds,0.19748562802263112,0.15383395822707302,0.2412493217915437,0.126571780325345
Atlanta,2020-04-01,14,Clouds,Rain,0.47750379872274196,0.41606913221490227,0.5355078456499646,0.126571780325345
Atlanta,2020-04-01,14,Clouds,Snow,0.009487433992312097,0.003102504774780856,0.024567775483218666,0.126571780325345
Atlanta,2020-04-01,14,Clouds,Sun,0.31218915879084264,0.2579054636845885,0.3704302876640414,0.126571780325345
Atlanta,2020-04-01,14,Rain,Clouds,0.10745428718767971,0.08179065269328994,0.13637657555716204,0.29358423023040836
Atlanta,2020-04-01,14,Rain,Rain,0.43345180103407227,0.3925611593032002,0.4699110596285826,0.29358423023040836
Atlanta,2020-04-01,14,Rain,Snow,0.00585599898409814,0.003149722027004847,0.010864480648177487,0.29358423023040836
Atlanta,2020-04-01,14,Rain,Sun,0.45286472724810634,0.4148588926064596,0.49239588181797966,0.29358423023040836
Atlanta,2020-04-01,14,Snow,Clouds,0.1214081153679233,0.03664988875083762,0.2817804482654881,0.006653808161294462
Atlanta,2020-04-01,14,Snow,Rain,0.15783677371250998,0.050867406555749436,0.3618123584126325,0.006653808161294462
Atlanta,2020-04-01,14,Snow,Snow,0.22070996851308083,0.07008393815710201,0.4687871722110116,0.006653808161294462
Atlanta,2020-04-01,14,Snow,Sun,0.4706374201553074,0.2640369155959127,0.6602893945945818,0.006653808161294462
Atlanta,2020-04-01,14,Sun,Clouds,0.12060014344878603,0.10075605719772548,0.1386332670818571,0.5731901812829522
Atlanta,2020-04-01,14,Sun,Rain,0.1825267259129842,0.15916319953803365,0.20526973749653848,0.5731901812829522
Atlanta,2020-04-01,14,Sun,Snow,0.003943240779789376,0.0024902498075674235,0.006709280478907179,0.5731901812829522
Atlanta,2020-04-01,14,Sun,Sun,0.6929009668237562,0.6646798706931213,0.7199735112782891,0.5731901812829522
Atlanta,2020-04-08,15,Clouds,Clouds,0.2065804268706975,0.16062118280053878,0.24898597158669256,0.1232476884499408
Atlanta,2020-04-08,15,Clouds,Rain,0.4778122698608534,0.4246751484943292,0.5325731176026853,0.1232476884499408
Atlanta,2020-04-08,15,Clouds,Snow,0.008722507466065633,0.002721618667638596,0.023561167349894607,0.1232476884499408
Atlanta,2020-04-08,15,Clouds,Sun,0.3041406605230854,0.25264554193558036,0.355840078411503,0.1232476884499408
Atlanta,2020-04-08,15,Rain,Clouds,0.10333019422538875,0.07982535249256023,0.13011204311637914,0.2916842866724897
Atlanta,2020-04-08,15,Rain,Rain,0.43488457937838537,0.3961528205184205,0.4690692927494977,0.2916842866724897
Atlanta,2020-04-08,15,Rain,Snow,0.004870082241147693,0.002541284611335563,0.00974183838122536,0.2916842866724897
Atlanta,2020-04-08,15,Rain,Sun,0.45664858497401806,0.41991522630987677,0.49433529838686974,0.2916842866724897
Atlanta,2020-04-08,15,Snow,Clouds,0.1309440703935874,0.037118316271466334,0.31304494834340346,0.005595469051430846
Atlanta,2020-04-08,15,Snow,Rain,0.16009842393237983,0.05174642753273445,0.37898087188819335,0.005595469051430846
Atlanta,2020-04-08,15,Snow,Snow,0.22565852976723755,0.06567802881047832,0.4773682445806453,0.005595469051430846
Atlanta,2020-04-08,15,Snow,Sun,0.4501098502099035,0.23891147333606894,0.6554681545779402,0.005595469051430846
Atlanta,2020-04-08,15,Sun,Clouds,0.11537834594318097,0.09848133029098374,0.13163914041178168,0.5794725558261388
Atlanta,2020-04-08,15,Sun,Rain,0.18105696133229865,0.15925516201527806,0.2031976337010273,0.5794725558261388
Atlanta,2020-04-08,15,Sun,Snow,0.0031661610532965016,0.001953843875654983,0.005812680323755145,0.5794725558261388
Atlanta,2020-04-08,15,Sun,Sun,0.7006519437833378,0.6741241139715459,0.7264645543859898,0.5794725558261388
Atlanta,2020-04-15,16,Clouds,Clouds,0.21535586154785846,0.16539367579568326,0.25880264698579647,0.11999787848738543
Atlanta,2020-04-15,16,Clouds,Rain,0.478454275511043,0.4251496600027055,0.5334717168174987,0.11999787848738543
Atlanta,2020-04-15,16,Clouds,Snow,0.008222429633790555,0.0022925322834601667,0.021568208135880736,0.11999787848738543
Atlanta,2020-04-15,16,Clouds,Sun,0.2962324583666869,0.24417597518210804,0.34622696362301086,0.11999787848738543
Atlanta,2020-04-15,16,Rain,Clouds,0.100570408495984,0.07734440386950331,0.12505361700520307,0.2914114561296575
Atlanta,2020-04-15,16,Rain,Rain,0.43769405070512873,0.3993517699106376,0.4721001654418908,0.2914114561296575
