overall,candidate,state,dem_pct,dem_win,dem_ev,total_ev,label
0.527,Sanders,MT,0.4403091802988605,FALSE,0,303,Sanders: 303 EV
0.527,Sanders,NC,0.49298794398103096,FALSE,0,303,Sanders: 303 EV
0.527,Sanders,ND,0.34981346158698734,FALSE,0,303,Sanders: 303 EV
0.527,Sanders,NE,0.4080062014850329,FALSE,0,303,Sanders: 303 EV
0.527,Sanders,NH,0.5564407606511257,TRUE,4,303,Sanders: 303 EV
0.527,Sanders,NJ,0.584936628444837,TRUE,14,303,Sanders: 303 EV
0.527,Sanders,NM,0.5028360422427616,TRUE,5,303,Sanders: 303 EV
0.527,Sanders,NV,0.5141818432755155,TRUE,6,303,Sanders: 303 EV
0.527,Sanders,NY,0.6486851263076073,TRUE,29,303,Sanders: 303 EV
0.527,Sanders,OH,0.5009981715682715,TRUE,18,303,Sanders: 303 EV
0.527,Sanders,OK,0.33175743642092703,FALSE,0,303,Sanders: 303 EV
0.527,Sanders,OR,0.5995848112837409,TRUE,7,303,Sanders: 303 EV
0.527,Sanders,PA,0.5357049861522296,TRUE,20,303,Sanders: 303 EV
0.527,Sanders,RI,0.6044525248911714,TRUE,4,303,Sanders: 303 EV
0.527,Sanders,SC,0.41998712061372523,FALSE,0,303,Sanders: 303 EV
0.527,Sanders,SD,0.3901561271674882,FALSE,0,303,Sanders: 303 EV
0.527,Sanders,TN,0.38967769038781797,FALSE,0,303,Sanders: 303 EV
0.527,Sanders,TX,0.4306699825734934,FALSE,0,303,Sanders: 303 EV
0.527,Sanders,UT,0.4123324670751673,FALSE,0,303,Sanders: 303 EV
0.527,Sanders,VA,0.5438577987090495,TRUE,13,303,Sanders: 303 EV
0.527,Sanders,VT,0.6979641552478631,TRUE,3,303,Sanders: 303 EV
0.527,Sanders,WA,0.6224018654211554,TRUE,12,303,Sanders: 303 EV
0.527,Sanders,WI,0.5424657970773092,TRUE,10,303,Sanders: 303 EV
0.527,Sanders,WV,0.33079530898504006,FALSE,0,303,Sanders: 303 EV
0.527,Sanders,WY,0.2770712454816765,FALSE,0,303,Sanders: 303 EV
0.527,Warren,AK,0.43298193919664973,FALSE,0,308,Warren: 308 EV
0.527,Warren,AL,0.3316385411751986,FALSE,0,308,Warren: 308 EV
0.527,Warren,AR,0.3789260435263183,FALSE,0,308,Warren: 308 EV
0.527,Warren,AZ,0.4909176080355248,FALSE,0,308,Warren: 308 EV
0.527,Warren,CA,0.658677370321456,TRUE,55,308,Warren: 308 EV
0.527,Warren,CO,0.5530566245531652,TRUE,9,308,Warren: 308 EV
0.527,Warren,CT,0.6007102354790662,TRUE,7,308,Warren: 308 EV
0.527,Warren,DC,0.9553443867812531,TRUE,3,308,Warren: 308 EV
0.527,Warren,DE,0.5900302446544284,TRUE,3,308,Warren: 308 EV
0.527,Warren,FL,0.5009428246757212,TRUE,29,308,Warren: 308 EV
0.527,Warren,GA,0.4611675402802883,FALSE,0,308,Warren: 308 EV
0.527,Warren,HI,0.6703065210627217,TRUE,4,308,Warren: 308 EV
0.527,Warren,IA,0.499275521673599,FALSE,0,308,Warren: 308 EV
0.527,Warren,ID,0.3520938322661707,FALSE,0,308,Warren: 308 EV
0.527,Warren,IL,0.6070682314121297,TRUE,20,308,Warren: 308 EV
0.527,Warren,IN,0.43154595934665474,FALSE,0,308,Warren: 308 EV
0.527,Warren,KS,0.42219823624394803,FALSE,0,308,Warren: 308 EV
0.527,Warren,KY,0.37453481119543225,FALSE,0,308,Warren: 308 EV
0.527,Warren,LA,0.3674311313887157,FALSE,0,308,Warren: 308 EV
0.527,Warren,MA,0.6742070389009952,TRUE,11,308,Warren: 308 EV
0.527,Warren,MD,0.6449891963687038,TRUE,10,308,Warren: 308 EV
0.527,Warren,ME,0.5623907866013141,TRUE,4,308,Warren: 308 EV
0.527,Warren,MI,0.5332224540469093,TRUE,16,308,Warren: 308 EV
0.527,Warren,MN,0.5433522250044256,TRUE,10,308,Warren: 308 EV
0.527,Warren,MO,0.43732598412823565,FALSE,0,308,Warren: 308 EV
0.527,Warren,MS,0.3627313352587576,FALSE,0,308,Warren: 308 EV
0.527,Warren,MT,0.43311815868397663,FALSE,0,308,Warren: 308 EV
0.527,Warren,NC,0.49163288796034443,FALSE,0,308,Warren: 308 EV
0.527,Warren,ND,0.33805630334635095,FALSE,0,308,Warren: 308 EV
0.527,Warren,NE,0.4011221948648175,FALSE,0,308,Warren: 308 EV
0.527,Warren,NH,0.5472726528147921,TRUE,4,308,Warren: 308 EV
0.527,Warren,NJ,0.5878745489083166,TRUE,14,308,Warren: 308 EV
0.527,Warren,NM,0.5235964682077028,TRUE,5,308,Warren: 308 EV
0.527,Warren,NV,0.5177366139378571,TRUE,6,308,Warren: 308 EV
0.527,Warren,NY,0.6503312417273408,TRUE,29,308,Warren: 308 EV
0.527,Warren,OH,0.49418195533005005,FALSE,0,308,Warren: 308 EV
0.527,Warren,OK,0.3296689584005211,FALSE,0,308,Warren: 308 EV
0.527,Warren,OR,0.5948022856751222,TRUE,7,308,Warren: 308 EV
